Product Name,serving_size,calories,sat_fat,sodium,carbohydrates ,sugar,fiber,protein,whole_grain,ca_Fe_K_at_20_percent,gluten_free,organic,tag,upc,food_type
Wasa Light Rye,18,60,0,70,14,0,3,2,18,no,no,no,"whole grain, less sat fat",O3361732261,CRACKERS
Wasa Multigrain Crispbread,15,60,0,75,11,0,2,2,12,no,no,no,"whole grain, less sat fat",O2261700703,CRACKERS
Wasa Whole Grain Crispbread,13,50,0,50,11,0,2,1,13,no,no,no,no,O3361700002,CRACKERS
Blue Diamond Asiago Cheese Nut Thin,c/o,,,,,,,,,,,,,,CRACKERS NATURAL
Blue Diamond Flax Seeds,30,130,0,135,22,0,2,3,21,no,yes,no,no,O4157010908,CRACKERS NATURAL
Blue Diamond Sesame Seeds,30,130,0,135,22,1,3,3,18,no,yes,no,no,O4157010909,CRACKERS NATURAL
Blue Diamond Multi-Seeds,30,130,0,135,22,0,2,3,21,no,yes,no,no,O4157010910,CRACKERS NATURAL
Kashi Original 7 Grain Sea Salt,31,120,0,180,22,2,5,3,10,no,no,no,no,O1862749118,CRACKERS NATURAL
Kashi Fire Roasted Vegetable,c/o,,,,,,,,,,,,,,CRACKERS NATURAL
Lukes GF Black Pepper,28,140,0.5,85,18,0,3,3,18,,yes,yes,"whole grain, less saturated fat",85240600385,CRACKERS NATURAL
Lukes GF Chia Seed,28,140,0.5,85,19,0,3,3,18,,yes,yes,"whole grain, less saturated fat",85240600382,CRACKERS NATURAL
Lukes GF Garden,28,140,0.5,85,18,0,3,3,18,,yes,yes,"whole grain, less saturated fat",85240600384,CRACKERS NATURAL
Mary's Gone Crackers GF Black Pepper,c/o,,,,,,,,,,,,,,CRACKERS NATURAL
Mary's Gone Crackers GF Herb,30,140,0.5,180,21,0,3,3,18,yes,yes,no,"whole grain, less saturated fat",89758000013,CRACKERS NATURAL
Simple truth Ancient Grain Rice,30,130,0,80,24,0,1,2,24,no,yes,no,,O1111086331,CRACKERS NATURAL
Simple Truth Multigrain rice,30,130,0,135,23,1,2,2,23,no,yes,no,,O1111086329,CRACKERS NATURAL
Mary's Gone Crackers GF Original,30,140,0.5,190,21,0,3,3,18,yes,yes,no,"whole grain, less saturated fat",89758000010,CRACKERS NATURAL
Simple Truth Ancient Grain Rice,30,130,0,80,24,0,1,2,24,no,YES,no,WG/ SatFat,1111086331,CRACKERS NATURAL
Simple Truth Multigrain rice with sea salt ,30,130,0,130,23,2,1,2,23,no,yes,no,WG/ SatFat,1111086329,CRACKERS NATURAL
Simple Truth Multigrain rice with sea salt & pepper,30,130,0.5,100,21,0,1,3,21,no,yes,no,WG/ SatFat,1111080482,CRACKERS NATURAL
