Product Name	serving_size	calories	sat_fat	sodium	carbohydrates 	sugar	fiber	protein	whole_grain	ca_Fe_K_at_20_percent	gluten_free	organic	tag	upc	food_type
Triscuit Cracked Pepper & Olive	28	120	0.5	140	20	0	3	3	23	no	no	no	wole grain, less sat fat	O4400002797	
Triscuit Original	28	120	0.5	160	20	0	3	3	24	no	no	no	wole grain, less sat fat	O4400002795	
Triscuit Reduced Fat	28	110	0	150	21	0	3	3	25	no	no	no	wole grain, less sat fat	O4400002796	
Triscuit Roasted Garlic	28	120	0.5	135	20	0	3	3	23	no	no	no	wole grain, less sat fat	O4400002799	
Triscuit Rosemary and Olive Oil	28	120	0.5	130	20	<1	3	3	23	no	no	no	wole grain, less sat fat	O4400002798	
Triscuit Tomato and Olive Oil	28	120	0.5	140	20	0	3	3	23	no	no	no	wole grain, less sat fat	O4400002800	
Triscuit Thin Crisp Original	30	130	0.5	170	21	0	3	3	25	no	no	no	no	O4400003229	
Triscuit Thin Crisp Parmesan Garlic	c/o														
Triscuit Vinegar & Basil	28	120	0.5	135	20	<1	3	3	23	no	no	no	whole grain, less sat fat	O4400004071	
Triscuit Brown Rice Sea Salt Black Pepper 	30	130	0.5	135	22	0	1	2	26		no	no	whole grain, less sat fat 	o4400003154	
Triscuit Brown Rice Roasted Red Pepper and Red Bean 	30	130	0.5	115	22	1	2	3	24		no	no	whole grain, less sat fat 	o4400003242	
Triscuit Brown Rice Sweet Potato and Roasted Onion 	30	130	0.5	90	23	1	2	2	24		no	no	whole grain, less sat fat	o4400003159	
Triscuit Brown Rice Sweet Potato and Sea Salt 	30	130	0.5	120	23	2	1	2	24		no	no	whole grain, less sat fat 	o4400003158	
Triscuit Brown Rice Thin Crisps Sour Cream and Chive 	30	130	0.5	150	23	1	1	3	25		no	no	whole grain, less sat fat 	o4400003783	
Triscuit Brown Rice Thin Crisps Wasabi and Soy Sauce 	30	130	0	180	23	1	1	2	26		no	no	whole grain, less sat fat 	o4400003782	
Wheat Thins Great Plains Multigrain Toasted Chip	28	130	1	230	19	3	2	2	16	no	no	no	whole grain, less sat fat	O4400001573	
Wheat Thins Toasted Chips Garden Vegetable	28	130	0.5	260	20	3	2	2	17	no	no	no	whole grain, less sat fat	O4400001578	
Wheat Thins Reduced Fat	29	130	0.5	230	22	4	3	2	21	no	no	no	whole grain, less sat fat	O4400003039	
Wheat Thins Multigrain	c/o														
Wasa Hearty Crispbread	15	60	0	75	12	0	2	1	15	no	no	no	whole grain, less sat fat	O3361737037	
Wasa Light Rye	18	60	0	70	14	0	3	2	18	no	no	no	whole grain, less sat fat	O3361732261	
Wasa Multigrain Crispbread	15	60	0	75	11	0	2	2	12	no	no	no	whole grain, less sat fat	O2261700703	
Wasa Whole Grain Crispbread	13	50	0	50	11	0	2	1	13	no	no	no	no	O3361700002	
CRACKERS NATURAL															
Blue Diamond Asiago Cheese Nut Thin	c/o														
Blue Diamond Flax Seeds	30	130	0	135	22	0	2	3	21	no	yes	no	no	O4157010908	
Blue Diamond Sesame Seeds	30	130	0	135	22	1	3	3	18	no	yes	no	no	O4157010909	
Blue Diamond Multi-Seeds	30	130	0	135	22	0	2	3	21	no	yes	no	no	O4157010910	
Kashi Original 7 Grain Sea Salt	31	120	0	180	22	2	5	3	10	no	no	no	no	O1862749118	
Kashi Fire Roasted Vegetable	c/o														
Lukes GF Black Pepper	28	140	0.5	85	18	0	3	3	18		yes	yes	whole grain, less saturated fat	85240600385	
Lukes GF Chia Seed	28	140	0.5	85	19	0	3	3	18		yes	yes	whole grain, less saturated fat	85240600382	
Lukes GF Garden	28	140	0.5	85	18	0	3	3	18		yes	yes	whole grain, less saturated fat	85240600384	
Mary's Gone Crackers GF Black Pepper	c/o														
Mary's Gone Crackers GF Herb	30	140	0.5	180	21	0	3	3	18	yes	yes	no	whole grain, less saturated fat	89758000013	
Simple truth Ancient Grain Rice	30	130	0	80	24	0	1	2	24	no	yes	no		O1111086331	
Simple Truth Multigrain rice	30	130	0	135	23	1	2	2	23	no	yes	no		O1111086329	
Mary's Gone Crackers GF Original	30	140	0.5	190	21	0	3	3	18	yes	yes	no	whole grain, less saturated fat	89758000010	
Simple Truth Ancient Grain Rice	30	130	0	80	24	0	1	2	24	no	YES	no	WG/ SatFat	1111086331	
Simple Truth Multigrain rice with sea salt 	30	130	0	130	23	2	1	2	23	no	yes	no	WG/ SatFat	1111086329	
Simple Truth Multigrain rice with sea salt & pepper	30	130	0.5	100	21	0	1	3	21	no	yes	no	WG/ SatFat	1111080482	
Simple truth multigrain rice with rosemary & Olive 	30	130	0.5	110	22	1	1	3	20	no	yes	no	WG/ SatFat	1111080472	
Way Better Rosemary & Olive Oil	28	110	0	200	15	0	4	3	21	no	n	no	WG/ SatFat	85335800096	
Way Better Salt & Cracked Pepper	28	110	0	110	15	0	4	3	21	no	n	no	WG/ SatFat	85335800096	
Triscuit Smoked Gouda	28g	120	0.5	160	20	<1	3	3	23g	0%	8%	3500mg	N	N	
Van's GF Multigrain Crackers	30	140	0.5	180	21	3	2	2	16	no	yes	no	no	o8994780310	
CROUTONS/SALAD TOPPINGS															
Ians whole grain bread crumbs		80	0	60	17	2	1	1	17	no	yes	yes			
Kroger Original Tortilla Strips	7	35	0	15	4	0	0	0	0		yes	no	less salt	o1111090922	
Kroger Santa Fe Tortilla Strips	7	35	0	25	4	0	0	0	0		yes	no	less salt	o1111090923	
Mrs. Cubison Tri color Tortilla Strips	7	35	0	15	4	0	0	0	0		yes	no	less salt	o7471408665	
NY Texas Toast Garlic & Butter Flavor	7	35	0	60	4	0	1	0	0		no	no	less salt	o7020001063	
Kroger BBQ cirspy red peppers	7	40	0	30	3	0	0	0	0		no	no	less salt	1111086822	
Kroger lightly salted crispy jalapenos	7	40	0	15	3	0	0	0	0		no	no	less salt	1111086820	
Kroger Mesquite bacon crispy onions	7	40	0	35	3	0	0	0	0		no	no	less salt	1111086828	
Kroger Sea Salt & Lime Crispy pablanos	7	40	0	25	3	0	0	0	0		no	no	less salt	1111086829	
Kroger Dried Cranberry & Pecans	10	45	0	15	7	5	1	0	0		no	no	less salt	o1111090928	
Kroger Dried Cranberries & Almonds	10	45	0	0	6	4	1	1	0		yes	no	less salt	o1111090929	
Kroger Sliced Almonds	8	45	0	0	2	0	1	2	0		no	no	less salt	o1111002128	
Kroger Pine Nuts	9	60	0	0	1	0	0	1	0		no	no	less salt	o1111002129	
DIPS															
Eat Well Embrace Life Edamamde Red Pepper	28	60	0	125	3	0	1	2			yes	no	less salt less saturated fat	89686300140	
Eat Well Embrace Life White Bean	28	60	0	95	5	0	2	2			yes	no	less salt less saturated fat	89696300143	
Kroger Fat Free Onion Dip	30	20	0	50	3	2	0	1			yes	no		o1111046810	
Mrs.Dash Classical Ranch Dip Mix	c/o														
Mrs. Dash French Onion Dip	c/o														
Marzetti Otria Greek Yogurt Veggie Dip Caramelized Onion	c/o														
Marzetti Otria Greek Yogurt Veggie Dip: Cucumber Dill Feta	31	60	1.5	200	2	1	0	2	no	no	yes	no		o7020052096	
Marzetti Otria Greek Yogurt Veggie Dip: Light Ranch	c/o														
Marzetti Light Ranch	2 tbsp	60	1	200	4	2	0	1	no		no	no	sat fat?	7020052208	
PeakFection Traditional Guacamole	c/o														
PeakFection Spicy Guacamole	30	60	1	80	3	0	2	1			yes	no	less salt	o1111074140	
Wholly Guacamole Homestyle (spicy)	30	45	0.5	115	2	0	1	0	no	no	yes	no	salt/sat fat	61611202938	
Yucatan Authentic Guacamole	30	50	0.5	120	3	<1	2	0			yes	no	less salt less saturated fat	76711951839	
Yucutan Mild Guacamole	30	50	0.5	118	2.5	0.5	2	0			yes	no	less salt less saturated fat	76711931839	
EGGS															
Private Selections Christopher's Eggs	50	70	1.5	70	0	0	0	6			yes	no	omega	o1111084338	
EGG WHITES															
Best Life All Whites 100% Liquid Egg Whites	46	25	0	75	0	0	0	5			yes	no		70662497122	
Kroger Break Free 100% Liquid Egg Whites	46	25	0	75	0	0	0	5			yes	no	less salt less saturated fat	o1111084603	
Deb E! Just Whites	c/o														
Good Food Made Simple Egg White Patties	c/o														
Simple Truth Free Range Egg Whites	46	25	0	75	0	0	0	5			yes	yes		o1111080654	
FISH CANNED															
Kroger Mackerel	55	110	1.5	230	3	0	0	12			yes	no	good source of omega	o1111078793	
Chicken of the Sea Salmon Skinless & Boneless Pink	56	60	0.5	180	0	0	0	10			yes	no	dieticians choice	o480860	
Cicken of the Sea Salmon Wild Caught Pink	63	90	1	230	0	0	0	12			yes	no	dieticians choice	o4800001475	
Honey Boy Salmon Skinless & Boneless Pink	56	70	0	170	0	0	0	14			yes	no		o7049000305	
Chicken of the Sea Salmon Packaged	56	60	0	180	0	0	0	10			yes	no		o4800001197	
Kroger Salmon Packaged Skinless & Boneless Pink	70	70	0.5	230	0	0	0	13			yes	no		o1111080792	
Beach Cliff Sardines in Water	no nurtition facts on pkg													2010000046	
Chicken of the Sea Sardines in Water	c/o														
Wild Planet Sardines in Water	c/o														
FISH:TUNA (CAN)															
Bumblebee Chunk White Albacore Water	56	60	0	140	0	0	0	13	no	no	yes	no	less salt less saturated fat	o866253	
Bumblebee Solid White Albacore Water	56	60	0	140	0	0	0	13	no	no	yes	no	less salt less saturated fat	o866053	
Bumblebee Solid White Albacore Prime Fillet	56	70	0	140	0	0	0	16	no	no	yes	no	less salt less saturated fat	o866113	
Chicken of the Sea Chunk White Albacore Water	56	50	0	140	0	0	0	11	no	no	yes	no	less salt less saturated fat	o4800003355	
Chicken of the Sea Solid White Albacore Water	56	60	0	140	0	0	0	13	no	no	yes	no	less salt less saturated fat	o4800000095	
Genova Albacore in Pure Olive oil	56	90	0.5	140	0	0	0	13	no	no	yes	no	Less Salt/ Sat Fat	4800000215	
Goya Chunk Light Tuna w/ Vegetables	56	80	0	55	3	1	0	8	no	no	yes	no	less salt less saturated fat	o4133103648	
Kroger Chunk White Albacore in Water	56	60	0	140	0	0	0	13			yes	no		o1111080768	
Kroger Solid White Albacore in Water	56	70	0	140	0	0	0	15			yes	no	less salt less saturated fat	o1111089088	
Starkist Solid White Albacore in Water	56	50	0	190	0	0	0	12			yes	no	less salt less saturated fat	o806720	
Starkist Very Low Sodium Albacore	56	60	0	35	0	0	0	14			yes	no		o806800	
Starkist Low Sodium Chunk Light	50	60	0	140	0	0	0	14			yes	no	less salt less saturated fat	o806790	
Sustainable Seas Solid Albacoe in Water	56	60	0	130	0	0	0	14			yes	no		85034800308	
Sustainable Seas Light Tuna in Water	56	60	0	130	0	0	0	14			yes	no		85034800310	
Wild Planet No Salt Added Albacore in Water (no salt/liquid added)	56	90	1	100	0	0	0	13	no	no	yes	no		82969600054	
TUNA (PACKAGED)															
Bumble Bee Snack on the run tuna salad kit	82	220	3	310	7	4	1	6	no	no	no	no	none	8660070777	
Starkist Deli style tuna kit	78	60	0	430	6	2	2	9	no	no	no	no	none	800051488	
Starkist Sweet & Spicy Tuna Kit	78	70	0	470	7	3	2	9	no	no	no	no	none	8000048448	
Kroger Chunk White Albacore in Water	56	60	0	140	0	0	0	13			yes	no	no	o1111080790	
Starkist Albacore White in Water	74	80	0.5	240	0	0	0	16	no	no	yes	no	n	8000049522	
Starkist Low Sodium Chunk Light Water	74	70	0	140	0	0	0	17			yes	no	no	o8000050527	
Wild Planet Wild Albacore No Salt Added	85	130	1.5	160	0	0	0	20	no	no	yes	no	no	82969600073	
FISH (FROZEN)															
SALMON:															
Blue Horizon Alaskan Salmon Surf Burger	c/o														
Cedar Bay Cedar Planked Salmon Applewood with Orange Ginger	113	240	3	360	16	14	1	18			no	no	good source of omenga, less salt	o3707110903	
Cedar Bay Cedar Planked Salmon lightly seasoned	113	240	4	75	0	4	1	23			no	no	good source of omenga, less salt	o3707110904	
Cedar Bay Cedar Planked Salmon Maple Smoked Pepper	113	250	3	420	17	15	<1	18			no	no		o3707110901	
Groton's Grilled Salmon Classic Grilled	89	90	0	350	3	0	0	15			yes	no		o4440018400	
Kroger Atlantic Farm Raised Salmon	170	260	3.5	65	0	0	0	23			yes	no	good source of omega	o1111096164	
Kroger Wild Caught Sockeyed Salmon	170	240	1.5	190	0	0	0	26			yes	no	good source of omega, less salt	o1111096661	
Kroger Salmon Burgers	85	130	1	360	1	0	0	16			yes	no	good source of omega	o1111096461	
Trident Alaskan Salmon Burgers	c/o														
Trident Alaskan Salmon Bites	108	180	1	290	2	1	0	16			yes	no		o2802921064	
FISH FILLETS (SEASONED)															
Gortons Limited Edition Grilled Cod	89	70	2	330	1	0	0	12	N	N	Y	N			
Blue Horizon Wild Tuna Surf Burder	c/o												less salt, less saturated fat	o4440017300	
Groton's Grilled Fillet Garlic Butter	101	80	0.5	260	0	0	0	14			yes	no	less salt, less saturated fat	o4440018650	
Groton's Grilled Tilapia Signature Grilled	89	80	0.5	200	0	0	0	13			yes	no			
Gortons Limited Edition Grilled Cod	89	70	2	330	1	0	0	12	N	N	Y	N			
Morey's Fish Creations Lemon Pepper Tilapia	c/o														
FISH STICKS (FROZEN)														o4440010800	
Earth's Best Fish Nugget	c/o												less salt, less saturated fat	74951258555	
Gorton's Crunchy Fish Sticks	86	190	2.5	290	18	2	1	9	N	N	N	N	Less Salt/ Sat Fat	81088201003	
Groton's Smart & Crunch Fish Sticks	86	180	2.5	340	24	5	<1	9			no	no	less salt, less saturated fat	o1111083851	
Ian's Fish Sticks	93	190	0	170	24	0	<1	11			yes	no		o1960092087	
Kids Fresh Funtastic Fish Sticks	90	190	1	250	15	0	2	10	no	no	no	no			
Kroger Crunchy Fish Sticks	78	180	1.5	310	19	1	1	9			no	no	less salt, less saturated fat	o4440015220	
Van de Kamps Xtra Large Fish Sticks	84	190	2	370	18	<1	<1	10			no	no	less salt, less saturated fat	o4440015360	
FISH FILLET (BREADED)													less salt, less saturated fat	o2802912772	
Gorton's Smart & CrunchyBreaded Fish Filet	108	200	2.5	470	26	4	<1	11	N	N	N	N		o2802921048	
Groton's Fish Sandwich Fillet	65	150	2.5	260	14	2	<1	6			no	no	dietitians choice	o1960092142	
Groton's Seasoned Skillet Crisp Tilapia	95	190	2	370	16	2	1	11			no	no			
Trident Panko Breaded Tilapia	110	230	1.5	360	20	1	1	15			no	no		o7433347684	
Trident 10 grain Alaskan Cod	113	230	1	370	20	1	1	14			no	no	omega	o7151801015	
Van De Kamps Fish Sandwich	85	190	2.5	360	18	2	3	6			no	no	omega	7151801010	
FLAX & CHIA SEEDS													omega, fiber	o3997800937	
Arrowhead Mills Organic Flax Seed	27	140	1	0	9	0	7	6			yes	yes	omega, fiber		
Hodgson Mill Milled Flax Seed	13	60	0	0	4	0	4	3	no		yes	no		o3997800940	
Hodgson Mill Mill Flax Chia Blend	14	60	0	0	5	0	4	3	no	3000 mg	yes	no	good source of omega	o1111086332	
Bob Red Mill 100% Organic Whole ground	13	60	0	5	5	0	4	3	no	1800 mg	yes	yes	omega	o1111086040	
Bobs Red Mill Chia Seeds	13	60	0.5	0	5	0	5	3	no		yes	yes	omega	o2250652107	
Bobs Red Mill 100% organic flaxseed meal	13	60	0.5	5	5	0	4	3	no	2400	yes	yes	omega	o2250612507	
Simple Truth Black Chia Seed	36	180	1	5	16	0	14	6	no		yes	no	omega	o2250667789	
Simple Truth Flaxseed Meal	11	60	0.5	0	3	0	3	2	no	2400 mg	yes	no			
Spectrum Ground Chia Seed	12	60	0	0	5	0	4	2			yes	yes		o7433347168	
Spectrum Ground Flaxseed w/ Mixed Berries	14	70	0	0	5	2	3	3	no	2.4g/152%	no	yes	whole grain	o3997853300	
Spectrum Ground Premium Flaxseed	14	70	0.5	5	4	0	3	3		2.9g/181%	no	yes	whole grain	o3997800315	
FLOURS													whole grain, fiber	o3997800124	
Arrowhead Mills Organic Spelt Flour	35	130	0	0	25	0	4	4	35		no	yes	whole grain, fiber	3997800124	
Bob's Red Mill 100% Stone Ground Whole Wheat Flour	38	140	0.5	0	27	0	5	6	n/a		no	no	whole grain	o3997800377	
Bob's Red Mill Brown Rice Flour	40	140	0	5	31	0	2	3	40		no	no	whole grain	o3997800320	
Bob's Red Mill Bulgar Wheat	47	170	0	0	35	0	5	6	47		no	no	whole grain	o1600051851	
Bob's Red Mill whole grain red bulgar	47	170	0	0	35	0	5	6	47		n	no			
Bob's Red Mill Whole Grain Oat Flour	40	160	0.5	0	26	0	4	7	40		yes	no	whole grain	7151802100	
Bob's Red Mill Whole Grain Quinoa Flour	28	110	0	8	18	0	2	4	n/a		yes	yes	whole grain	o7101205050	
Gold Medal Whole Wheat White Flour	30	100	0	0	22	0	3	4	n/a		no	no	whole grain, fibwe	o1111084498	
Hodgson Mill 100% Stone Ground Whole Wheat Flour	c/o												whole grain, fiber	o1111089866	
Hodgson Baking Mix Multipurpose	30	100	0	10	22	0	3	3	n/a	n	n	n			
King Arthur Whole Wheat Flour	30	100	0.5	0	20	21	4	4	30		no	no	dc	4227200241	
Kroger Whole Wheat Flour	30	110	0	0	22	0	4	4			no	no		o4227200161	
Kroger White Whole Wheat Flour	30	110	0	0	22	0	4	4			no	no		o4227200803	
FROZEN FOODS															
Amy's Low Salt Black Bean Enchilada	135	160	0.5	190	22	2	4	5	n/a		yes	yes		4227200104	
Amy's Light in Sodium Brown Rice and Vegetable Bowl	283	260	1	270	36	7	5	9			yes	no		1356200172	
Amy's Light & Lean Bean and Cheese Enchilada	1 container	250	2	480	44	5	4	8			yes	no		1356200161	
Amy's light & Lean Quinoa black bean bowl		240	0.5	440	38	6	11	10		iron 20	yes			o2531710555	
Amy's Pesto Pizza	128	310	3.5	480	39	3	2	12	n/a		no	yes		o2531700557	
Annie Mini Pizza Bagel Combo	84	200	2	490	26	3	2	10	n/a	n	n	yes		o2531700550	
Annie Pizza Popper cheese	81	180	2	300	27	3	1	7	n/a	n	n	yes		2531700559	
Applegate Chicken Nuggets Breaded	88	180	2	210	12	0	0	12			no	no		o2531700589	
Applegate Chicken Patties Breaded	85	180	2	200	12	0	0	12			no	no		o2531700697	
Applegate Organic Chicken Strips	84	170	1	350	12	1	0	12			no	yes		o2531700591	
Applegate Chicken Tenders	84	130	0.5	360	10	0	0	11	no	no	yes	no		5262900417	
Applegate Breakfast Sausage Chicken and Apple	59	120	2	340	3	2	0	10			yes	no		75928360016	
Applegate Breakfast Sausage Chicken and Sage	59	100	2	350	0	0	0	10			yes	no		75928360015	
Applegate Breakfast Sausage Chicken and Maple	33	60	1	210	1	1	0	5			yes	no		75928360011	
Beyond Beef Grilled Chicken Strips	85	120	0	350	5	0	2	20	no	no	Yes	No		75928333445	
Boca All American Burger	71	120	1.5	380	6	0	5	14			no	no		75928360106	
Boca Original Vegan	71	70	0	280	6	0	4	13			no	no		C/O	
Boca Original Chick'n	71	160	1	430	15	1	2	11			no	no		o3879490907	
Boca Vegan Veggie Burger	71	70	0	280	6	0	4	13	n/a		no	no		C/O	
Boca Ground Crumbles	57	60	0	270	6	0	3	13			no	no		8086800039	
Cedar Lane Low Fat Garden Vegetable Enchilada	127	140	1.5	350	19	3	2	9			yes	no		8086800041	
Cedar Lane Low Fat Garden Vegetable Lasagna	142	140	1.5	400	21	4	3	8			no	no		8086806019	
Cedar Lane Low Fat Burrito, Bean and Rice	1 burrito	260	0	490	48	2	7	13			no	no		C/O	
Dr. Praeger's Sensible Foods super greens burger	71 g	100	0.5	250	11	1	2	2	no	A 40%	yes	yes		o2392320625	
Dr. Praeger's Sensible Foods Kale veggie burgr	71	120	0.5	210	14	1	1	2	no	no	yes	yes		C/O	
Dr. Prageger's black bean veggie burger	71	120	0	320	12	2	3	12	no	no	yes	yes		C/O	
Earth's Best Chicken Nugget	56	120	0	270	10	0	1	11	8		no	no			
Earth's best Elmo Pasta n Sauce	198	160	0	30	33	6	5	5	22	iron	no	yes		o89162700300	
Earth's Best Fish Nugget	56	100	0	200	10	<1	<1	7	8	iron	no	no			
Earth's Best Pizza	87	190	3	380	26	1	4	9	38	iron	no 	yes		89162700857	
Earth's Best Popcorn Chicken	c/o													89162700251	
EVOL Cilantro Lime Chicken Burrito	170	320	3.5	320	48	1	4	15			no	no		89162700731	
EVOL Chicken and Vegetable Pasta	c/o													89162700733	
EVOL Egg White Spinach Burrito	142	260	3	290	37	1	4	10			no	no	c/o	89162700908	
EVOL shredded beef burrito	142	230	1.5	390	41	1	10	9			no 	no	less salt, less saturated fat	84223400098	
Evol Sweet potato bean cheese taco	169	220	3	160	36	5	5	8	n/a	n/a	yes	no		C/O	
Evol Chicken Street Taco	181	240	1.5	320	33	1	4	14	n/a	n/a	yes	no	salt sat fat	o9616500229	
EVOL Lean and Fit Chicken Tandoor	241	270	1	420	38	3	6	19			no	no	salt sat fat	o9616500243	
Gardein Beefless Ground	57	80	0	230	5	1	3	12			yes	no	salt sat fat	o9616500242	
Gardein Chick'n Scallopini	71	100	0	310	4	1	4	9			yes	no	dc	84223400211	
Foodies Artichoke burger Original	71	220	1	135	22	4	3	6	n	n	yes		less salt, less saturated fat	84223400139	
Foodies Artichoke Bruger Tandor	71	220	1	135	22	4	3	6	n	n	Yes		less salt, less saturated fat	84223400097	
Foodies Artichoke Burger Herb	71	220	1	135	22	4	3	6	n	n	Yes		less salt, less saturated fat	84223400166	
Gardein Crabless Cake	75	130	0	300	11	1	1	9	n	n	n	n	less salt, less saturated fat	84223400096	
Gardein Chicken Slider	80	180	0.5	270	25	4	1	10			no	no	less salt, less saturated fat	84223400074	
Gardein Classic Meatless Meatballs	90	150	0.5	340	9	1	4	15			no	no	less salt, less saturated fat	84223400052	
Gardein Fishless Filet	96	180	0.5	340	14	0	3	9			no	no	less salt, less saturated fat	84223400138	
Gardein Lightly Breaded Turkey Cutlet	125	260	1	350	19	1	3	22			no	no	less salt, less saturated fat	84223400099	
Gardein Mandarine Orange	71	130	0	280	12	0	1	10			no	no		C/O	
Gardein Seven Grain Crispy Tenders	51	100	0	240	8	0	1	8			no	no	salt sat fat	74951291572	
Gardein Szechuan Beef	72	180	0.5	250	17	0	1	11			no	no	salt sat fat	74951291682	
Gardein Teriyaki Chicken Strips	75	120	0	240	4	0	2	14			no	no			
Gardein Zesty Marina Crispy Chick'n Filets	125	260	0.5	340	19	1	2	21			no	no	less salt, less saturated fat	74951222355	
Ian's Soy cheese pizza	113	240	0	350	33	4	3	3	n	Calcium	yes	no	dieticians choice	74951229246	
Ians pepperoni French Bread Pizza	113	240	1	410	32	4	3	4	n	n	yes	m		o1862729284	
Ian's Fish Sticks	93	190	0	170	24	1	11	<1	n	n	yes	no		o1862744126	
Ian's Chicken Nugget	84	200	1	310	13	0	1	13			yes	no			
Kashi Black Bean Mango	283	340	1	380	58	11	7	8	37		no	no			
Kashi Chicken Pasta Pomodora	1 entr̩e	280	1.5	470	38	5	6	19	40		no	no			
Kashi Mayan Harvest Bake	1 entree	340	2	380	58	19	8	9	18		no	no	less salt, less saturated fat	o1380095091	
Lean Cuisine Honestly Good Honey Citrus Chicken	c/o													84042310062	
Lean Cuisine Honestly Good Lemongrass Salmon	c/o														
Lean Cuisine Honestly Good Plum Ginger Grain Crusted Fish	c/o														
Lean Cuisine Honestly Good Pomegranite Chicken	212	180	1	370	20	13	3	17			no	no		84042310063	
LUVO Burrito- Bean and Cheese	170	310	3	380	47	4	6	12		ca	no	yes			
LUVO Burrito- Breakfast	c/o														
LUVO- Burrito Chicken Verde	c/o														
LUVO Burrito- Eggplant Quinoa	170	270	2.5	270	39	3	7	10		ca	no	yes		84042310012	
LUVO Flatbread Mushroom Onion	c/o													84042310000	
LUVO Flatbread Roasted Vegetable	c/o													84042310017	
LUVO Flatbread Tomato Mozzarella	c/o												less salt, less saturated fat	83373500008	
LUVO Kale ricotta raviolli	269	260	2	460	40	6	4	7		ca	no	no	less salt, less saturated fat	83373500137	
LUVO Orange Mango Cicken	283	420	1	380	69	16	4	21		fe	no	no	less salt, less saturated fat	83373500024	
LUVO Turkey Meatloaf and Potatoes	283	220	1.5	480	24	6	4	17		fe	no	no	dieticians choice	83373500014	
Quorn chick'n Patties	75	170	0.5	350	20	0	2	9			no	no	less salt, less saturated fat	83373500012	
Quorn Classic Burger	80	110	2	430	9	2	2	9			no	no			
Quorn Meatballs	68	90	0.5	390	7	1	1	13			no	no		85041600225	
Quorn Grounds	85	110	0.5	170	9	0.5	5	13			no	no	less salt, less saturated fat	85041600222	
Quorn Tenders	85	90	0.5	390	9	1	4	10			no	no		85041600224	
